event_id,user_id,journey_id,session_id,event_timestamp_utc,event_date,touchpoint_number,total_touchpoints_in_journey,channel,channel_group,campaign,funnel_stage,event_type,utm_source,utm_medium,utm_campaign,landing_page,device,region,product_plan,ad_spend,is_conversion,conversion_id,conversion_timestamp_utc,conversion_value,customer_status
E000033,U00010,J00010,S00010_01,2026-04-23 11:23:00,2026-04-23,1,6,Organic Search,organic,how_to_guide,Consideration,blog_visit,google,organic,how_to_guide,/case-studies,Desktop,East,Professional,0.00,0,,,0.00,
E000034,U00010,J00010,S00010_02,2026-04-24 11:22:00,2026-04-24,2,6,Organic Search,organic,seo_blog,Consideration,seo_landing,google,organic,seo_blog,/pricing,Tablet,East,Professional,0.00,0,,,0.00,
E000035,U00010,J00010,S00010_03,2026-04-26 02:31:00,2026-04-26,3,6,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/demo,Desktop,East,Professional,1.71,0,,,0.00,
E000036,U00010,J00010,S00010_04,2026-04-26 23:03:00,2026-04-26,4,6,LinkedIn Ads,paid_social,b2b_leads,Consideration,ad_click,linkedin,cpc,b2b_leads,/blog/marketing-roi,Desktop,East,Professional,3.50,0,,,0.00,
E000037,U00010,J00010,S00010_05,2026-04-28 00:52:00,2026-04-28,5,6,Google Ads,paid_search,competitor_search,Decision,ad_click,google,cpc,competitor_search,/free-trial,Desktop,East,Professional,2.98,0,,,0.00,
E000038,U00010,J00010,S00010_06,2026-04-29 15:52:00,2026-04-29,6,6,Google Ads,paid_search,high_intent_keywords,Decision,ad_click,google,cpc,high_intent_keywords,/blog/marketing-roi,Desktop,East,Professional,2.37,0,,,0.00,
E000039,U00011,J00011,S00011_01,2026-02-09 13:57:00,2026-02-09,1,2,Organic Search,organic,comparison_page,Consideration,blog_visit,google,organic,comparison_page,/demo,Desktop,North,Starter,0.00,0,,,0.00,
E000040,U00011,J00011,S00011_02,2026-02-10 19:58:00,2026-02-10,2,2,Google Ads,paid_search,competitor_search,Purchase,conversion,google,cpc,competitor_search,/case-studies,Mobile,North,Starter,3.18,1,C00005,2026-02-10 19:58:00,89.24,new
E000041,U00012,J00012,S00012_01,2026-01-14 14:55:00,2026-01-14,1,3,Organic Search,organic,comparison_page,Consideration,seo_landing,google,organic,comparison_page,/blog/marketing-roi,Mobile,North,Starter,0.00,0,,,0.00,
E000042,U00012,J00012,S00012_02,2026-01-15 09:09:00,2026-01-15,2,3,Google Ads,paid_search,brand_search,Decision,search_click,google,cpc,brand_search,/pricing,Mobile,North,Starter,1.68,0,,,0.00,
E000043,U00012,J00012,S00012_03,2026-01-16 11:50:00,2026-01-16,3,3,LinkedIn Ads,paid_social,saas_trial,Consideration,lead_form_view,linkedin,cpc,saas_trial,/pricing,Mobile,North,Starter,4.58,0,,,0.00,
E000044,U00013,J00013,S00013_01,2026-02-03 08:06:00,2026-02-03,1,2,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/free-trial,Desktop,Central,Professional,1.12,0,,,0.00,
E000045,U00013,J00013,S00013_02,2026-02-03 14:51:00,2026-02-03,2,2,LinkedIn Ads,paid_social,saas_trial,Consideration,ad_click,linkedin,cpc,saas_trial,/pricing,Mobile,Central,Professional,2.54,0,,,0.00,
E000046,U00014,J00014,S00014_01,2026-01-16 19:57:00,2026-01-16,1,4,Meta Ads,paid_social,interest_stack,Awareness,video_click,meta,cpc,interest_stack,/demo,Desktop,East,Professional,1.42,0,,,0.00,
E000047,U00014,J00014,S00014_02,2026-01-18 00:40:00,2026-01-18,2,4,Organic Search,organic,seo_blog,Consideration,seo_landing,google,organic,seo_blog,/features,Desktop,East,Professional,0.00,0,,,0.00,
E000048,U00014,J00014,S00014_03,2026-01-18 04:59:00,2026-01-18,3,4,Meta Ads,paid_social,lookalike_1pct,Awareness,video_click,meta,cpc,lookalike_1pct,/features,Desktop,East,Professional,1.26,0,,,0.00,
E000049,U00014,J00014,S00014_04,2026-01-19 17:29:00,2026-01-19,4,4,Organic Search,organic,how_to_guide,Consideration,blog_visit,google,organic,how_to_guide,/case-studies,Desktop,East,Professional,0.00,0,,,0.00,
E000050,U00015,J00015,S00015_01,2026-02-12 09:52:00,2026-02-12,1,4,Meta Ads,paid_social,retargeting,Awareness,ad_click,meta,cpc,retargeting,/features,Mobile,South,Starter,0.88,0,,,0.00,
E000051,U00015,J00015,S00015_02,2026-02-12 18:21:00,2026-02-12,2,4,LinkedIn Ads,paid_social,saas_trial,Consideration,ad_click,linkedin,cpc,saas_trial,/features,Mobile,South,Starter,3.80,0,,,0.00,
E000052,U00015,J00015,S00015_03,2026-02-13 13:30:00,2026-02-13,3,4,Organic Search,organic,seo_blog,Consideration,blog_visit,google,organic,seo_blog,/features,Mobile,South,Starter,0.00,0,,,0.00,
E000053,U00015,J00015,S00015_04,2026-02-15 14:03:00,2026-02-15,4,4,LinkedIn Ads,paid_social,saas_trial,Consideration,ad_click,linkedin,cpc,saas_trial,/pricing,Mobile,South,Starter,4.51,0,,,0.00,
E000054,U00016,J00016,S00016_01,2026-03-13 17:20:00,2026-03-13,1,5,TikTok Ads,paid_social,ugc_demo,Awareness,ad_click,tiktok,cpc,ugc_demo,/case-studies,Mobile,West,Professional,1.29,0,,,0.00,
E000055,U00016,J00016,S00016_02,2026-03-14 14:08:00,2026-03-14,2,5,Meta Ads,paid_social,interest_stack,Awareness,video_click,meta,cpc,interest_stack,/free-trial,Mobile,West,Professional,1.79,0,,,0.00,
E000056,U00016,J00016,S00016_03,2026-03-15 09:25:00,2026-03-15,3,5,LinkedIn Ads,paid_social,saas_trial,Consideration,lead_form_view,linkedin,cpc,saas_trial,/blog/marketing-roi,Mobile,West,Professional,2.08,0,,,0.00,
E000057,U00016,J00016,S00016_04,2026-03-16 23:30:00,2026-03-16,4,5,Google Ads,paid_search,brand_search,Decision,search_click,google,cpc,brand_search,/case-studies,Mobile,West,Professional,2.84,0,,,0.00,
E000058,U00016,J00016,S00016_05,2026-03-18 05:56:00,2026-03-18,5,5,TikTok Ads,paid_social,short_video_awareness,Awareness,ad_click,tiktok,cpc,short_video_awareness,/features,Mobile,West,Professional,0.42,0,,,0.00,
E000059,U00017,J00017,S00017_01,2026-01-03 21:56:00,2026-01-03,1,5,TikTok Ads,paid_social,short_video_awareness,Awareness,ad_click,tiktok,cpc,short_video_awareness,/case-studies,Desktop,Central,Starter,0.92,0,,,0.00,
E000060,U00017,J00017,S00017_02,2026-01-05 16:53:00,2026-01-05,2,5,Meta Ads,paid_social,retargeting,Awareness,video_click,meta,cpc,retargeting,/pricing,Desktop,Central,Starter,1.21,0,,,0.00,
E000061,U00017,J00017,S00017_03,2026-01-07 15:36:00,2026-01-07,3,5,Organic Search,organic,how_to_guide,Consideration,blog_visit,google,organic,how_to_guide,/features,Tablet,Central,Starter,0.00,0,,,0.00,
E000062,U00017,J00017,S00017_04,2026-01-09 05:37:00,2026-01-09,4,5,Direct,direct,typed_url,Decision,direct_visit,direct,none,typed_url,/pricing,Desktop,Central,Starter,0.00,0,,,0.00,
E000063,U00017,J00017,S00017_05,2026-01-09 18:32:00,2026-01-09,5,5,LinkedIn Ads,paid_social,b2b_leads,Consideration,lead_form_view,linkedin,cpc,b2b_leads,/demo,Desktop,Central,Starter,2.60,0,,,0.00,
E000064,U00018,J00018,S00018_01,2026-02-05 20:53:00,2026-02-05,1,3,Google Ads,paid_search,high_intent_keywords,Decision,ad_click,google,cpc,high_intent_keywords,/blog/marketing-roi,Desktop,West,Starter,3.80,0,,,0.00,
E000065,U00018,J00018,S00018_02,2026-02-06 05:42:00,2026-02-06,2,3,Referral,referral,affiliate_blog,Consideration,referral_visit,partner,referral,affiliate_blog,/demo,Desktop,West,Starter,0.00,0,,,0.00,
E000066,U00018,J00018,S00018_03,2026-02-06 11:21:00,2026-02-06,3,3,Google Ads,paid_search,brand_search,Decision,search_click,google,cpc,brand_search,/free-trial,Mobile,West,Starter,2.76,0,,,0.00,
E000067,U00019,J00019,S00019_01,2026-01-22 17:38:00,2026-01-22,1,5,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/free-trial,Mobile,North,Starter,2.08,0,,,0.00,
E000068,U00019,J00019,S00019_02,2026-01-23 22:03:00,2026-01-23,2,5,Referral,referral,affiliate_blog,Consideration,referral_visit,partner,referral,affiliate_blog,/free-trial,Mobile,North,Starter,0.00,0,,,0.00,
E000069,U00019,J00019,S00019_03,2026-01-25 18:18:00,2026-01-25,3,5,Google Ads,paid_search,competitor_search,Decision,ad_click,google,cpc,competitor_search,/free-trial,Mobile,North,Starter,3.16,0,,,0.00,
E000070,U00019,J00019,S00019_04,2026-01-26 20:52:00,2026-01-26,4,5,LinkedIn Ads,paid_social,decision_makers,Consideration,ad_click,linkedin,cpc,decision_makers,/blog/marketing-roi,Mobile,North,Starter,3.05,0,,,0.00,
E000071,U00019,J00019,S00019_05,2026-01-28 03:44:00,2026-01-28,5,5,LinkedIn Ads,paid_social,decision_makers,Consideration,lead_form_view,linkedin,cpc,decision_makers,/features,Mobile,North,Starter,3.51,0,,,0.00,
E000072,U00020,J00020,S00020_01,2026-03-25 12:39:00,2026-03-25,1,4,Organic Search,organic,how_to_guide,Consideration,seo_landing,google,organic,how_to_guide,/blog/marketing-roi,Desktop,Central,Starter,0.00,0,,,0.00,
E000073,U00020,J00020,S00020_02,2026-03-26 10:35:00,2026-03-26,2,4,LinkedIn Ads,paid_social,decision_makers,Consideration,lead_form_view,linkedin,cpc,decision_makers,/features,Desktop,Central,Starter,2.44,0,,,0.00,
E000074,U00020,J00020,S00020_03,2026-03-27 21:48:00,2026-03-27,3,4,TikTok Ads,paid_social,short_video_awareness,Awareness,ad_click,tiktok,cpc,short_video_awareness,/free-trial,Mobile,Central,Starter,0.64,0,,,0.00,
E000075,U00020,J00020,S00020_04,2026-03-28 19:23:00,2026-03-28,4,4,Google Ads,paid_search,brand_search,Decision,ad_click,google,cpc,brand_search,/features,Mobile,Central,Starter,1.41,0,,,0.00,
E000076,U00021,J00021,S00021_01,2026-03-24 19:31:00,2026-03-24,1,5,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/free-trial,Mobile,West,Starter,0.99,0,,,0.00,
E000077,U00021,J00021,S00021_02,2026-03-26 11:04:00,2026-03-26,2,5,TikTok Ads,paid_social,ugc_demo,Awareness,ad_click,tiktok,cpc,ugc_demo,/features,Mobile,West,Starter,0.72,0,,,0.00,
E000078,U00021,J00021,S00021_03,2026-03-27 07:18:00,2026-03-27,3,5,Google Ads,paid_search,brand_search,Decision,search_click,google,cpc,brand_search,/free-trial,Tablet,West,Starter,1.03,0,,,0.00,
E000079,U00021,J00021,S00021_04,2026-03-27 22:30:00,2026-03-27,4,5,Meta Ads,paid_social,lookalike_1pct,Awareness,video_click,meta,cpc,lookalike_1pct,/free-trial,Mobile,West,Starter,1.72,0,,,0.00,
E000080,U00021,J00021,S00021_05,2026-03-28 09:23:00,2026-03-28,5,5,Meta Ads,paid_social,retargeting,Awareness,video_click,meta,cpc,retargeting,/pricing,Mobile,West,Starter,0.76,0,,,0.00,
E000081,U00022,J00022,S00022_01,2026-01-07 16:18:00,2026-01-07,1,2,Meta Ads,paid_social,lookalike_1pct,Awareness,video_click,meta,cpc,lookalike_1pct,/pricing,Mobile,South,Professional,1.05,0,,,0.00,
E000082,U00022,J00022,S00022_02,2026-01-09 02:25:00,2026-01-09,2,2,Direct,direct,saved_link,Purchase,conversion,direct,none,saved_link,/pricing,Mobile,South,Professional,0.00,1,C00006,2026-01-09 02:25:00,255.98,new
E000083,U00023,J00023,S00023_01,2026-04-14 17:19:00,2026-04-14,1,5,Organic Search,organic,seo_blog,Consideration,seo_landing,google,organic,seo_blog,/features,Mobile,North,Starter,0.00,0,,,0.00,
E000084,U00023,J00023,S00023_02,2026-04-16 10:46:00,2026-04-16,2,5,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/case-studies,Tablet,North,Starter,1.52,0,,,0.00,
E000085,U00023,J00023,S00023_03,2026-04-17 04:26:00,2026-04-17,3,5,Meta Ads,paid_social,interest_stack,Awareness,ad_click,meta,cpc,interest_stack,/demo,Tablet,North,Starter,0.72,0,,,0.00,
E000086,U00023,J00023,S00023_04,2026-04-17 18:26:00,2026-04-17,4,5,LinkedIn Ads,paid_social,saas_trial,Consideration,lead_form_view,linkedin,cpc,saas_trial,/demo,Tablet,North,Starter,2.28,0,,,0.00,
E000087,U00023,J00023,S00023_05,2026-04-18 17:10:00,2026-04-18,5,5,Direct,direct,direct_visit,Purchase,conversion,direct,none,direct_visit,/blog/marketing-roi,Tablet,North,Starter,0.00,1,C00007,2026-04-18 17:10:00,114.16,returning
E000088,U00024,J00024,S00024_01,2026-04-30 11:27:00,2026-04-30,1,4,Direct,direct,direct_visit,Decision,direct_visit,direct,none,direct_visit,/pricing,Mobile,North,Professional,0.00,0,,,0.00,
E000089,U00024,J00024,S00024_02,2026-05-01 11:05:00,2026-05-01,2,4,Organic Search,organic,how_to_guide,Consideration,seo_landing,google,organic,how_to_guide,/features,Mobile,North,Professional,0.00,0,,,0.00,
E000090,U00024,J00024,S00024_03,2026-05-03 11:24:00,2026-05-03,3,4,Organic Search,organic,comparison_page,Consideration,seo_landing,google,organic,comparison_page,/features,Mobile,North,Professional,0.00,0,,,0.00,
E000091,U00024,J00024,S00024_04,2026-05-03 18:20:00,2026-05-03,4,4,LinkedIn Ads,paid_social,decision_makers,Consideration,lead_form_view,linkedin,cpc,decision_makers,/demo,Tablet,North,Professional,1.34,0,,,0.00,
E000092,U00025,J00025,S00025_01,2026-04-08 18:52:00,2026-04-08,1,4,TikTok Ads,paid_social,short_video_awareness,Awareness,video_view,tiktok,cpc,short_video_awareness,/features,Mobile,East,Professional,0.49,0,,,0.00,
E000093,U00025,J00025,S00025_02,2026-04-10 05:57:00,2026-04-10,2,4,LinkedIn Ads,paid_social,decision_makers,Consideration,lead_form_view,linkedin,cpc,decision_makers,/pricing,Mobile,East,Professional,2.39,0,,,0.00,
E000094,U00025,J00025,S00025_03,2026-04-11 12:41:00,2026-04-11,3,4,LinkedIn Ads,paid_social,saas_trial,Consideration,lead_form_view,linkedin,cpc,saas_trial,/free-trial,Mobile,East,Professional,4.14,0,,,0.00,
E000095,U00025,J00025,S00025_04,2026-04-11 22:01:00,2026-04-11,4,4,Google Ads,paid_search,brand_search,Purchase,conversion,google,cpc,brand_search,/pricing,Mobile,East,Professional,3.37,1,C00008,2026-04-11 22:01:00,331.74,new
E000096,U00026,J00026,S00026_01,2026-01-25 16:23:00,2026-01-25,1,4,LinkedIn Ads,paid_social,decision_makers,Consideration,lead_form_view,linkedin,cpc,decision_makers,/features,Mobile,Central,Professional,4.38,0,,,0.00,
E000097,U00026,J00026,S00026_02,2026-01-27 13:01:00,2026-01-27,2,4,Organic Search,organic,how_to_guide,Consideration,blog_visit,google,organic,how_to_guide,/blog/marketing-roi,Mobile,Central,Professional,0.00,0,,,0.00,
E000098,U00026,J00026,S00026_03,2026-01-29 04:27:00,2026-01-29,3,4,Google Ads,paid_search,brand_search,Decision,search_click,google,cpc,brand_search,/case-studies,Mobile,Central,Professional,3.63,0,,,0.00,
E000099,U00026,J00026,S00026_04,2026-01-30 16:26:00,2026-01-30,4,4,Organic Search,organic,how_to_guide,Purchase,conversion,google,organic,how_to_guide,/features,Mobile,Central,Professional,0.00,1,C00009,2026-01-30 16:26:00,284.58,new
E000100,U00027,J00027,S00027_01,2026-03-12 10:24:00,2026-03-12,1,7,Meta Ads,paid_social,lookalike_1pct,Awareness,video_click,meta,cpc,lookalike_1pct,/free-trial,Tablet,South,Starter,2.08,0,,,0.00,
E000101,U00027,J00027,S00027_02,2026-03-12 14:42:00,2026-03-12,2,7,Organic Search,organic,how_to_guide,Consideration,seo_landing,google,organic,how_to_guide,/demo,Tablet,South,Starter,0.00,0,,,0.00,
E000102,U00027,J00027,S00027_03,2026-03-14 01:04:00,2026-03-14,3,7,TikTok Ads,paid_social,ugc_demo,Awareness,ad_click,tiktok,cpc,ugc_demo,/blog/marketing-roi,Tablet,South,Starter,0.83,0,,,0.00,
E000103,U00027,J00027,S00027_04,2026-03-14 20:40:00,2026-03-14,4,7,LinkedIn Ads,paid_social,decision_makers,Consideration,ad_click,linkedin,cpc,decision_makers,/features,Tablet,South,Starter,2.38,0,,,0.00,
E000104,U00027,J00027,S00027_05,2026-03-16 01:04:00,2026-03-16,5,7,Referral,referral,partner_site,Consideration,referral_visit,partner,referral,partner_site,/features,Desktop,South,Starter,0.00,0,,,0.00,
E000105,U00027,J00027,S00027_06,2026-03-17 13:41:00,2026-03-17,6,7,TikTok Ads,paid_social,creator_spark,Awareness,ad_click,tiktok,cpc,creator_spark,/features,Tablet,South,Starter,0.45,0,,,0.00,
E000106,U00027,J00027,S00027_07,2026-03-18 03:07:00,2026-03-18,7,7,Direct,direct,direct_visit,Purchase,conversion,direct,none,direct_visit,/features,Tablet,South,Starter,0.00,1,C00010,2026-03-18 03:07:00,126.92,returning
E000107,U00028,J00028,S00028_01,2026-02-20 18:05:00,2026-02-20,1,3,TikTok Ads,paid_social,short_video_awareness,Awareness,ad_click,tiktok,cpc,short_video_awareness,/pricing,Mobile,East,Professional,1.27,0,,,0.00,
E000108,U00028,J00028,S00028_02,2026-02-21 13:45:00,2026-02-21,2,3,Organic Search,organic,comparison_page,Consideration,blog_visit,google,organic,comparison_page,/case-studies,Mobile,East,Professional,0.00,0,,,0.00,
E000109,U00028,J00028,S00028_03,2026-02-22 00:33:00,2026-02-22,3,3,Email,owned,newsletter,Decision,email_click,mailchimp,email,newsletter,/blog/marketing-roi,Desktop,East,Professional,0.03,0,,,0.00,
E000110,U00029,J00029,S00029_01,2026-02-15 13:27:00,2026-02-15,1,3,Meta Ads,paid_social,interest_stack,Awareness,video_click,meta,cpc,interest_stack,/demo,Desktop,South,Starter,1.53,0,,,0.00,
E000111,U00029,J00029,S00029_02,2026-02-17 06:36:00,2026-02-17,2,3,Meta Ads,paid_social,interest_stack,Awareness,video_click,meta,cpc,interest_stack,/case-studies,Desktop,South,Starter,1.25,0,,,0.00,
E000112,U00029,J00029,S00029_03,2026-02-18 16:33:00,2026-02-18,3,3,Google Ads,paid_search,high_intent_keywords,Purchase,conversion,google,cpc,high_intent_keywords,/blog/marketing-roi,Mobile,South,Starter,0.88,1,C00011,2026-02-18 16:33:00,93.06,new
E000113,U00030,J00030,S00030_01,2026-02-02 15:54:00,2026-02-02,1,4,TikTok Ads,paid_social,creator_spark,Awareness,ad_click,tiktok,cpc,creator_spark,/free-trial,Desktop,East,Starter,0.95,0,,,0.00,
E000114,U00030,J00030,S00030_02,2026-02-04 16:12:00,2026-02-04,2,4,Google Ads,paid_search,high_intent_keywords,Decision,search_click,google,cpc,high_intent_keywords,/free-trial,Tablet,East,Starter,1.51,0,,,0.00,
E000115,U00030,J00030,S00030_03,2026-02-05 00:10:00,2026-02-05,3,4,Email,owned,trial_nurture,Decision,email_click,mailchimp,email,trial_nurture,/demo,Desktop,East,Starter,0.07,0,,,0.00,
E000116,U00030,J00030,S00030_04,2026-02-06 02:24:00,2026-02-06,4,4,Email,owned,abandoned_cart,Decision,email_click,mailchimp,email,abandoned_cart,/case-studies,Desktop,East,Starter,0.06,0,,,0.00,
E000117,U00031,J00031,S00031_01,2026-01-13 22:40:00,2026-01-13,1,5,Google Ads,paid_search,competitor_search,Decision,search_click,google,cpc,competitor_search,/demo,Desktop,North,Starter,3.00,0,,,0.00,
E000118,U00031,J00031,S00031_02,2026-01-15 13:36:00,2026-01-15,2,5,Referral,referral,partner_site,Consideration,referral_visit,partner,referral,partner_site,/demo,Desktop,North,Starter,0.00,0,,,0.00,
E000119,U00031,J00031,S00031_03,2026-01-17 00:27:00,2026-01-17,3,5,Meta Ads,paid_social,lookalike_1pct,Awareness,ad_click,meta,cpc,lookalike_1pct,/pricing,Desktop,North,Starter,1.27,0,,,0.00,
E000120,U00031,J00031,S00031_04,2026-01-17 19:22:00,2026-01-17,4,5,Organic Search,organic,how_to_guide,Consideration,seo_landing,google,organic,how_to_guide,/free-trial,Desktop,North,Starter,0.00,0,,,0.00,
